"score","coverage","variants","original_variants","format","original_build","action"
"PGS002981","1","2500","2500","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002982","1","912901","912901","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002983","1","915020","915020","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002984","1","67333","67333","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002985","1","31267","31267","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002986","1","31700","31700","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002987","1","1661426","1661426","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002988","1","996840","996840","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002989","1","282132","282132","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002990","1","6903","6903","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002991","1","7080","7080","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002992","1","464103","464103","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002993","1","915553","915553","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002994","1","724579","724579","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002995","1","26671","26671","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002996","1","25909","25909","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002997","1","7601215","7601215","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002998","1","1113832","1113832","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS002999","1","313080","313080","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003000","1","83829","83829","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003001","1","81218","81218","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003002","1","7601215","7601215","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003003","1","1109030","1109030","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003004","1","4943","4943","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003005","1","2860","2860","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003006","1","5212","5212","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003007","1","359","359","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003008","1","12076","12076","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003009","1","5226","5226","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003010","1","1894","1894","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003011","1","3300","3300","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003012","1","361","361","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003013","1","12076","12076","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003014","1","294142","294142","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003015","1","58725","58725","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003016","1","56978","56978","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003017","1","7094727","7094727","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003018","1","1096197","1096197","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003019","1","6731","6731","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003020","1","24","24","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003021","1","24","24","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003022","1","56","56","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003023","1","12097","12097","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003024","1","7123","7123","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003025","1","9","9","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003026","1","9","9","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003027","1","59","59","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003028","1","12097","12097","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003029","1","549112","549112","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003030","1","2066","2066","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003031","1","2609","2609","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003032","1","7457930","7457930","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003033","1","1113830","1113830","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003034","1","552845","552845","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003035","1","2288","2288","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003036","1","2935","2935","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003037","1","8918470","8918470","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003038","1","1113830","1113830","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003039","1","378933","378933","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003040","1","13","13","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003041","1","13","13","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003042","1","272","272","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003043","1","1116151","1116151","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003044","1","520707","520707","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003045","1","14682","14682","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003046","1","27004","27004","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003047","1","7075957","7075957","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003048","1","1113832","1113832","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003049","1","515021","515021","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003050","1","1485","1485","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003051","1","2146","2146","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003052","1","6575783","6575783","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003053","1","1113832","1113832","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003054","1","595975","595975","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003055","1","8787","8787","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003056","1","14184","14184","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003057","1","7433494","7433494","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003058","1","1113832","1113832","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003059","1","641463","641463","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003060","1","8148","8148","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003061","1","15848","15848","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003062","1","355","355","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003063","1","1109786","1109786","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003064","1","642068","642068","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003065","1","17138","17138","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003066","1","39469","39469","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003067","1","244","244","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003068","1","1110662","1110662","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003069","1","775138","775138","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003070","1","24765","24765","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003071","1","41867","41867","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003072","1","7477086","7477086","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003073","1","1113831","1113831","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003074","1","730914","730914","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003075","1","16283","16283","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003076","1","25673","25673","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003077","1","7477072","7477072","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003078","1","1113831","1113831","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003079","1","354112","354112","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003080","1","11085","11085","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003081","1","22519","22519","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003082","1","6341932","6341932","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003083","1","1113774","1113774","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003084","1","353555","353555","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003085","1","13447","13447","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003086","1","27471","27471","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003087","1","6762103","6762103","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003088","1","1113774","1113774","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003089","1","488969","488969","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003090","1","1888","1888","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003091","1","2707","2707","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003092","1","10304000","10304000","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003093","1","1113832","1113832","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003094","1","266890","266890","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003095","1","45","45","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003096","1","46","46","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003097","1","229","229","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003098","1","1116101","1116101","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003099","1","555512","555512","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003100","1","5693","5693","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003101","1","5693","5693","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003102","1","5052574","5052574","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003103","1","945820","945820","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003104","1","374510","374510","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003105","1","187","187","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003106","1","187","187","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003107","1","995","995","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003108","1","1118480","1118480","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003109","1","311565","311565","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003110","1","118","118","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003111","1","143","143","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003112","1","222","222","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003113","1","1117087","1117087","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003114","1","555528","555528","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003115","1","31462","31462","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003116","1","31462","31462","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003117","1","5052993","5052993","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003118","1","945921","945921","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003119","1","407553","407553","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003120","1","193","193","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003121","1","193","193","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003122","1","264","264","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003123","1","1119522","1119522","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003124","1","224595","224595","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003125","1","256","256","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003126","1","351","351","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003127","1","344981","344981","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003128","1","1116425","1116425","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003129","1","281336","281336","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003130","1","4280","4280","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003131","1","5164","5164","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003132","1","41698","41698","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003133","1","1117469","1117469","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003134","1","585328","585328","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003135","1","2822","2822","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003136","1","3566","3566","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003137","1","7459292","7459292","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003138","1","1113831","1113831","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003139","1","569518","569518","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003140","1","2863","2863","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003141","1","3604","3604","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003142","1","7459288","7459288","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003143","1","1113831","1113831","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003144","1","762608","762608","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003145","1","9693","9693","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003146","1","13680","13680","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003147","1","8924773","8924773","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003148","1","1113831","1113831","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003149","1","705677","705677","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003150","1","5113","5113","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003151","1","6730","6730","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS003152","1","8924752","8924752","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
