"score","coverage","variants","original_variants","format","original_build","action"
"PGS000001","1","77","77","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000002","1","77","77","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000003","1","77","77","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000004","1","313","313","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000005","1","313","313","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000006","1","313","313","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000007","1","3820","3820","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000008","1","3820","3820","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000009","1","3820","3820","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000010","0.81","22","27","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000011","1","50","50","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000012","0.79","38916","49310","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000013","1","6630150","6630150","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000014","1","6917436","6917436","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000015","1","5218","5218","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000016","1","6730541","6730541","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000017","1","6907112","6907112","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000018","1","1745179","1745179","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000023","1","7","7","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000025","1","19","19","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000026","0.94","31","33","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000027","1","2100302","2100302","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000028","0.99","85","86","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000029","1","76","76","PGS-Catalog v2 (RS_ID)","hg38","RSID_TO_COORDINATES"
"PGS000030","0.77","113","147","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000032","0.75","15","20","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000033","0.9","9","10","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000034","1","97","97","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000035","0.8","939","1168","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000036","1","171249","171249","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000037","1","15","15","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000038","0.77","69","90","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000039","1","3225583","3225583","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000043","1","297","297","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000044","1","66","66","PGS-Catalog v2 (RS_ID)","hg38","RSID_TO_COORDINATES"
"PGS000045","1","88","88","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000046","1","87","87","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000047","1","53","53","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000048","1","17","17","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000050","1","44","44","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000051","0.82","55","67","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000052","1","161","161","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000054","0.81","17","21","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000055","1","76","76","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000056","1","23","23","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000057","0.84","48","57","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000058","1","204","204","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000059","0.78","36","46","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000060","1","46","46","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000061","0.97","36","37","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000062","0.98","51","52","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000063","1","32","32","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000064","1","120","120","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000065","1","103","103","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000066","1","101","101","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000067","1","54","54","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000068","1","15","15","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000069","1","15","15","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000070","1","19","19","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000071","1","15","15","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000072","0.96","179","187","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000073","0.9","9","10","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000074","1","103","103","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000075","1","9","9","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000076","1","19","19","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000077","1","75","75","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000078","1","109","109","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000079","1","24","24","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000080","0.95","18","19","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000081","0.93","13","14","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000082","1","36","36","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000083","1","22","22","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000084","0.96","155","161","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000086","1","52","52","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000087","0.92","11","12","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000088","1","9121","9121","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000089","1","5248","5248","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000090","1","22949","22949","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000091","1","24406","24406","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000092","1","28214","28214","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000093","1","25090","25090","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000094","1","25493","25493","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000095","1","21957","21957","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000096","1","17850","17850","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000097","1","24646","24646","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000098","1","22363","22363","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000099","1","27081","27081","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000100","1","11832","11832","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000101","1","25001","25001","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000102","1","28162","28162","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000103","1","22843","22843","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000104","1","25745","25745","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000105","1","23864","23864","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000106","1","22049","22049","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000107","1","30459","30459","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000108","1","25995","25995","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000109","1","26683","26683","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000110","1","23242","23242","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000111","1","26077","26077","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000112","1","25939","25939","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000113","1","28383","28383","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000114","0.92","24","26","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000115","1","223","223","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000116","1","40079","40079","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000117","1","297862","297862","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000119","0.81","26","32","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000120","0.8","8","10","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000123","1","16","16","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000124","1","103","103","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000125","1","80","80","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000126","1","114","114","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000133","1","604645","604645","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000134","1","830589","830589","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000135","1","972439","972439","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000136","1","833502","833502","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000137","1","2673","2673","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000138","1","22274","22274","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000139","1","21980","21980","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000140","1","24665","24665","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000141","1","22728","22728","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000142","1","21908","21908","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000143","1","21042","21042","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000144","1","21828","21828","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000145","1","21510","21510","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000146","1","27","27","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000147","0.81","17","21","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000148","0.98","62","63","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000149","0.83","34","41","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000150","1","48","48","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000151","1","14","14","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000152","0.9","9","10","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000154","0.83","25","30","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000155","0.79","15","19","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000156","1","6","6","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000157","0.76","13","17","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000158","0.9","9","10","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000160","0.78","62","79","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000163","1","185","185","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000164","1","150","150","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000165","1","607","607","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000166","1","571","571","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000167","1","502","502","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000168","1","515","515","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000169","1","570","570","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000170","1","566","566","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000171","1","372","372","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000172","1","621","621","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000173","1","472","472","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000174","1","628","628","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000175","1","224","224","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000176","1","685","685","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000177","1","638","638","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000178","1","549","549","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000179","1","654","654","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000180","1","629","629","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000181","1","761","761","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000182","1","492","492","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000183","1","437","437","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000184","1","700","700","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000185","1","555","555","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000186","1","739","739","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000187","1","678","678","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000188","1","546","546","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000189","1","555","555","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000190","1","537","537","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000191","1","636","636","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000193","1","1138","1138","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000194","0.82","206","250","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000195","0.82","206","250","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000196","0.82","206","250","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000197","0.82","206","250","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000198","0.82","206","250","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000199","0.82","206","250","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000200","0.86","24","28","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000201","1","1094954","1094954","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000202","1","1083002","1083002","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000203","1","1110910","1110910","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000204","1","1099480","1099480","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000205","1","1110737","1110737","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000206","1","1098765","1098765","PGS-Catalog v2 (COORDINATES)","NR","NONE"
"PGS000207","1","10","10","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000208","1","10","10","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000209","1","10","10","PGS-Catalog v2 (COORDINATES)","hg38","LIFT_OVER"
"PGS000210","1","279","279","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000211","0.89","17","19","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000212","1","330","330","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000213","1","330","330","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000214","1","330","330","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000215","1","330","330","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000216","1","330","330","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000217","0.76","417655","552254","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000218","0.76","417581","552121","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000219","0.76","419210","553819","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000220","0.76","417514","551989","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000221","0.76","417787","552347","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000222","0.76","417423","552214","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000223","0.76","417668","552187","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000224","0.76","417894","552106","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000225","0.76","417492","552163","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000226","0.76","417434","552195","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000227","0.76","417530","552134","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000228","0.76","417505","552084","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000229","0.76","417672","552274","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000230","0.76","417825","552234","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000231","0.76","417502","552241","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000232","0.76","417145","552061","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000233","0.76","417720","552067","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000234","0.76","418645","553046","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000235","0.76","418730","553163","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000236","0.76","418288","553240","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000237","0.76","417951","552343","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000238","0.76","417817","552335","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000239","0.76","417680","552100","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000240","0.76","417462","552138","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000241","0.76","419005","553548","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000242","0.76","417889","552282","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000243","0.76","417387","552228","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000244","0.76","417877","552236","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000245","0.76","417922","552108","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000246","0.76","417482","552104","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000247","0.76","418429","553239","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000248","0.76","417656","552212","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000249","0.76","417665","552186","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000250","0.76","417527","551917","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000251","0.76","417524","552026","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000252","0.76","417742","552426","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000253","0.76","417508","552132","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000254","0.76","417443","551990","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000255","0.76","417495","551884","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000256","0.76","417230","552423","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000257","0.76","417494","552062","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000258","0.76","417436","552053","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000259","0.76","417537","552110","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000260","0.76","417329","552045","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000261","0.76","418703","553070","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000262","0.76","417373","552171","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000263","0.76","417017","552000","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000264","0.76","417438","552116","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000265","0.76","417458","552072","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000266","0.76","417492","552021","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000267","0.76","417374","552328","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000268","0.76","417572","552052","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000269","0.76","417711","552278","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000270","0.76","419061","554137","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000271","0.76","417522","552205","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000272","0.76","417688","552298","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000273","0.76","417918","552202","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000274","0.76","417790","552265","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000275","0.76","417584","552010","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000276","0.76","417663","552275","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000277","0.76","417588","552165","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000278","0.76","417632","552474","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000279","0.76","417604","552298","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000280","0.76","417589","552078","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000281","0.76","417105","552002","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000282","0.76","417463","552420","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000283","0.76","417812","552703","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000284","0.76","417490","552006","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000285","0.76","417706","552228","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000286","0.76","417736","552241","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000287","0.76","417474","552317","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000288","0.76","417431","552185","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000289","0.76","417596","552048","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000290","0.76","417977","552279","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000291","0.76","417837","552198","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000292","0.76","417594","552090","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000293","0.76","417646","552048","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000294","0.76","417559","552070","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000295","0.76","417208","551905","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000296","1","6630150","6630150","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000297","1","3290","3290","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000298","1","941","941","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000299","1","462","462","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000300","1","80","80","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000301","1","970","970","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000302","1","962","962","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000303","1","253","253","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000304","1","43","43","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000305","1","31","31","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000306","1","19","19","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000307","1","12","12","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000308","1","12","12","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000309","1","247","247","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000310","1","194","194","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000311","1","234","234","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000312","1","190","190","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000313","1","49","49","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000314","1","77","77","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000315","1","7","7","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
"PGS000318","1","4122","4122","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000319","1","4092","4092","PGS-Catalog v2 (RS_ID)","hg19","RSID_TO_COORDINATES"
"PGS000320","0.79","207915","263640","PGS-Catalog v2 (RS_ID)","NR","RSID_TO_COORDINATES"
"PGS000321","1","7299","7319","PGS-Catalog v2 (COORDINATES)","hg19","NONE"
